min_support,min_confidence,min_lift,num_rules,avg_confidence,avg_lift,avg_support
0.1,0.3,1.0,17,0.651,1.4915,0.2437
0.1,0.3,1.5,6,0.6667,1.8148,0.2381
0.1,0.5,1.0,12,0.7722,1.4908,0.2619
0.1,0.5,1.5,5,0.7334,1.7111,0.2571
0.2,0.3,1.0,17,0.651,1.4915,0.2437
0.2,0.3,1.5,6,0.6667,1.8148,0.2381
0.2,0.5,1.0,12,0.7722,1.4908,0.2619
0.2,0.5,1.5,5,0.7334,1.7111,0.2571
